profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,1.58056640625,1.58056640625,1.58056640625,1.58056640625
extract-frames,Lowest-Latency,1.12119140625,1.05419921875,1.24560546875,1.24560546875
extract-frames,Random,1.32216796875,1.24560546875,1.77197265625,1.77197265625
extract-frames,Round-Robin,1.403515625,1.3173828125,1.77197265625,1.77197265625
extract-frames,SLO-first,1.40830078125,1.19775390625,1.77197265625,1.77197265625
object-det,Best-Acc,1.58056640625,1.58056640625,1.58056640625,1.58056640625
object-det,Lowest-Latency,1.1259765625,1.05419921875,1.4298339843749996,1.550419921875
object-det,Random,1.3365234375,1.24560546875,1.77197265625,1.77197265625
object-det,Round-Robin,1.403515625,1.3173828125,1.77197265625,1.77197265625
object-det,SLO-first,1.37001953125,1.19775390625,1.77197265625,1.77197265625
prepare-ds,Best-Acc,1.58056640625,1.58056640625,1.58056640625,1.58056640625
prepare-ds,Lowest-Latency,1.11162109375,1.05419921875,1.24560546875,1.24560546875
prepare-ds,Random,1.30302734375,1.24560546875,1.58056640625,1.58056640625
prepare-ds,Round-Robin,1.403515625,1.3173828125,1.77197265625,1.77197265625
prepare-ds,SLO-first,1.50400390625,1.58056640625,1.77197265625,1.77197265625
